7849, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
7849, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
7849, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
7849, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1248, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1248, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1248, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1248, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1248, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1248, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1248, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1248, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1248, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
9061, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
9061, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
9061, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
9061, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
9061, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
9061, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
9061, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
9061, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
9061, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1177, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1177, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1177, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1177, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1177, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1177, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1177, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1177, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1177, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1766, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
