1248, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1248, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1248, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1248, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1248, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1248, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
9061, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
9061, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
9061, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
9061, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
9061, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
9061, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
9061, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
9061, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
9061, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1177, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1177, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1177, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1177, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1177, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1177, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1177, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1177, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1177, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1766, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1766, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1766, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1766, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1766, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1766, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1766, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1766, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1766, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
3, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
3, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
3, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
